245729_at	At1g73490
245730_at	At1g73470
245731_at	At1g73500
245732_at	At1g73440
245733_at	At1g73380
245734_at	At1g73480
245735_at	At1g73410
245736_at	At1g73330
245737_at	At1g44160
245738_at	At1g44130
245739_at	At1g44110
245740_at	At1g44100
245741_at	At1g44120
245742_at	At1g44170
245743_at	At1g51080
245744_at	At1g51110
245745_at	At1g51115
245746_at	At1g51070
245747_at	At1g51100
245748_at	At1g51140
245749_at	At1g51090
245750_at	At1g51060
245751_s_at	At1g25988
245752_at	At1g35150
245753_at	At1g35143
245754_at	At1g35183
245755_at	At1g35210
245756_at	At1g35190
245757_at	At1g35140
245758_at	At1g32240
245759_at	At1g66900
245760_s_at	At1g66920
245761_at	At1g66890
245762_at	At1g27880
245763_at	At1g27850
245764_s_at	At1g27840
245765_at	At1g33600
245766_at	At1g33580
245767_at	At1g33610
245768_at	At1g33590
245769_at	At1g30220
245770_at	At1g30240
245771_at	At1g30250
245772_at	At1g30300
245773_at	At1g30290
245774_at	At1g30210
245775_at	At1g30270
245776_at	At1g30260
245777_at	At1g73540
245778_at	At1g73530
245779_at	At1g73510
245780_at	At1g45688
245781_at	At1g45976
245782_at	At1g35200
245783_s_at	At1g35180
245784_at	At1g32190
245785_at	At1g32180
245786_at	At1g32150
245787_at	At1g32130
245788_at	At1g32120
245789_at	At1g32090
245790_at	At1g32200
245791_at	At1g32210
245792_at	At1g32100
245793_at	At1g32220
245794_at	At1g32170
245795_at	At1g32160
245796_at	At1g32230
245797_at	At1g45261
245798_at	At1g45545
245799_at	At1g45616
245800_at	At1g46264
245801_at	At1g46912
245802_at	At1g46840
245803_at	At1g47128
245804_at	At1g46696
245805_at	At1g46336
245806_at	At1g45474
245807_at	At1g46768
245808_at	At1g58470
245809_at	At1g58440
245810_at	At1g37607
245811_at	At1g37826
245812_at	At1g37900
245813_at	At1g49920
245814_at	At1g49910
245815_at	At1g26090
245816_at	At1g26210
245817_at	At1g26160
245818_at	At1g26100
245819_at	At1g26310
245820_at	At1g26320
245821_at	At1g26270
245822_at	At1g26110
245823_at	At1g57906
245824_at	At1g57943
245825_at	At1g57870
245826_at	At1g57850
245827_at	At1g57830
245828_at	At1g57820
245829_at	At1g57780
245830_at	At1g57790
245831_at	At1g48840
245832_at	At1g48850
245833_at	At1g42220
245834_at	At1g42200
245835_at	At1g42190
245836_at	At1g42250
245837_at	At1g58450
245838_at	At1g58410
245839_at	At1g58390
245840_at	At1g58420
245841_s_at	At1g58380
245842_at	At1g58430
245843_at	At1g26180
245844_at	At1g26170
245845_at	At1g26150
245846_at	At1g26130
245847_at	At5g11050
245848_at	At5g13480
245849_at	At5g13520
245850_at	At5g13530
245851_at	At5g13540
245852_at	At5g13510
245853_at	At5g13500
245854_at	At5g13490
245855_at	At5g13550
245856_at	At5g28240
245857_at	At5g28270
245858_at	At5g28280
245859_at	At5g28290
245860_at	At5g28310
245861_at	At5g28300
245862_at	At5g01010
245863_s_at	At1g58050
245864_at	At1g58070
245865_at	At1g58025
245866_s_at	At1g57990
245867_at	At1g58080
245868_at	At1g58032
245869_at	At1g26330
245870_at	At1g26300
245871_at	At1g26290
245872_at	At1g26280
245873_at	At1g26260
245874_at	At1g26250
245875_at	At1g26240
245876_at	At1g26230
245877_at	At1g26220
245878_at	At1g26190
245879_at	At5g09420
245880_at	At5g09430
245881_at	At5g09460
245882_at	At5g09470
245883_at	At5g09500
245884_at	At5g09300
245885_at	At5g09440
245886_at	At5g09510
245887_at	At5g09390
245888_at	At5g09450
245889_at	At5g09480
245890_at	At5g09490
245891_at	At5g09220
245892_at	At5g09370
245893_at	At5g09270
245894_at	At5g09310
245895_at	At5g09230
245896_at	At5g09250
245897_at	At5g09400
245898_at	At5g11015
245899_at	At5g11030
245900_at	At5g11040
245901_at	At5g11060
245902_at	At5g11080
245903_at	At5g11100
245904_at	At5g11110
245905_at	At5g11090
245906_at	At5g11070
245907_at	At5g09340
245908_at	At5g09360
245909_at	At5g09380
245910_at	At5g09410
245911_at	At5g19690
245912_at	At5g19600
245913_at	At5g19860
245914_at	At5g19620
245915_s_at	At5g19770
245916_at	At5g28720
245917_at	At5g28740
245918_at	At5g28760
245919_at	At5g28780
245920_at	At5g28790
245921_at	At5g28800
245922_at	At5g28810
245923_at	At5g28820
245924_at	At5g28750
245925_at	At5g28770
245926_at	At5g24740
245927_at	At5g24750
245928_s_at	At5g24780
245929_at	At5g24760
245930_at	At5g09240
245931_at	At5g09280
245932_at	At5g09290
245933_at	At5g09320
245934_at	At5g09330
245935_at	At5g19840
245936_at	At5g19850
245937_at	At5g19750
245938_at	At5g19680
245939_at	At5g19760
245940_at	At5g19630
245941_at	At5g19820
245942_at	At5g19490
245943_at	At5g19500
245944_at	At5g19520
245945_at	At5g19560
245946_at	At5g19580
245947_at	At5g19530
245948_at	At5g19540
245949_at	At5g19510
245950_at	At5g19570
245951_at	At5g19550
245952_at	At5g28500
245953_at	At5g28520
245954_at	At5g28530
245955_at	At5g28510
245956_s_at	At5g28540
245957_at	At5g19590
245958_at	At5g19610
245959_at	At5g19640
245960_at	At5g19660
